Title,Link,Abstract,Authors,Journal,Year,Citations,SearchTerm,
Timing treatments to the phenology of root carbohydrate reserves to control woody invasive plants,https://search.proquest.com/openview/306fb04338b62d39c60871e80fe7103f/1?pq-origsite=gscholar&cbl=18750&diss=y,"In the Northeast, land managers are combating the deleterious effects that invasive plants 
have on other species and natural communities with attempts to remove them or substantially …",JA Richburg - 2005 - search.proquest.com,,,38,roots AND phenology,
"Cordaixylon dumusum (Cordaitales). II. Reproductive biology, phenology, and growth ecology",https://www.journals.uchicago.edu/doi/abs/10.1086/297140,"… of ovule ontogeny, phenology, pollination biology, and … plants, developmental patterns, 
phenology, and many facets of the … abundant wood and adventitious roots that diverge from nodal …",GW Rothwell,International journal of plant sciences,1993,38,roots AND phenology,
Effects of climate warming and prolonged snow cover on phenology of the early life history stages of four alpine herbs on the southeastern Tibetan Plateau,https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/ajb2.1104,"… Treatment effects on seedling emergence, emergence phenology, survival, biomass, and 
root:… Year was not included in the models of biomass and root:shoot ratio for Primula alpicola …","G Wang, CC Baskin, JM Baskin, X Yang…",American Journal of …,2018,38,roots AND phenology,
"Bionomics of Mogulones cruciger (Coleoptera: Curculionidae), a Below-Ground Herbivore for the Biological Control of Hound's-Tongue",https://academic.oup.com/ee/article-abstract/26/2/357/2464499,"… In conclusion, it can be said that, because of the variability of its seasonal phenology and 
the good synchronization with the life history of its host plant, and its abundance, M. cruciger …",M Schwarzlaender,Environmental Entomology,1997,38,belowground AND phenology,
"Extensive grassland-use sustains high levels of soil biological activity, but does not alleviate detrimental climate change effects",https://www.sciencedirect.com/science/article/pii/S0065250419300029,"… Thus far, the responses of soil organisms to interacting global change drivers remain poorly 
explored and our knowledge of below-ground phenology is particularly limited. Previous …","J Siebert, MP Thakur, T Reitz, M Schädler…",Advances in Ecological …,2019,38,belowground AND phenology,
Composition and seasonal phenology of a nonindigenous root-feeding weevil (Coleoptera: Curculionidae) complex in northern hardwood forests in the Great Lakes …,https://academic.oup.com/ee/article-abstract/34/2/298/459318,"Phyllobius oblongus (L.), Polydrusus sericeus (Schaller), and Sciaphilus asperatus (Bonsdorff) 
comprise a complex of nonindigenous root-feeding weevils in northern hardwood forests …","RA Pinski, WJ Mattson, KF Raffa",Environmental Entomology,2005,37,roots AND phenology,
"Ethnopharmacology and phenology of high-altitude medicinal plants in Kashmir, Northern Himalaya",https://ethnobotanyjournal.org/index.php/era/article/view/2963,"… Amongst the parts of plants, roots were the most utilized plant part with 25% of usage 
followed by whole plant (22%). Gastro-intestinal disorders were treated with most species (18%), …","AY Mir, U Yaqoob, M Hassan…",Ethnobotany …,2021,37,roots AND phenology,
"Effects of drought on the phenology, growth, and morphological development of three urban tree species and cultivars",https://www.mdpi.com/2071-1050/11/18/5117,"… as their phenological timings, the architecture of the root systems, and the carbon partitioning 
and allocation. The rainfall exclusion experiment started in May 2017 and was conducted …","LMF Stratópoulos, C Zhang, KH Häberle, S Pauleit…",Sustainability,2019,36,roots AND phenology,
Total nonstructural carbohydrate trends in bluebunch wheatgrass related to growth and phenology.,https://journals.uair.arizona.edu/index.php/jrm/article/viewFile/7218/6830,"… Relative fluctuations of reserves in roots and root crowns were similar throughout the first 
3 phenological stages. During subsequent stages, root concentrations …","T Daer, EE Willard",Rangeland Ecology & Management …,1981,36,roots AND phenology,
"Changes in fine-root production, phenology and spatial distribution in response to N application in irrigated sweet cherry trees",https://academic.oup.com/treephys/article-abstract/36/5/601/2414055,"… Further evidence of the effect of source–sink relationships on root phenology might be 
the decoupling frequently registered between root and shoot growth in woody species (Steinaker …","P Artacho, C Bonomelli",Tree physiology,2016,35,roots AND phenology,
Vegetation phenology can be captured with digital repeat photography and linked to variability of root nutrition in Hedysarum alpinum,https://onlinelibrary.wiley.com/doi/abs/10.1111/avsc.12000,"… Repeat photography and image analysis successfully detected all key phenological 
events (ie green-up, flowering, senescence). Given the relation between phenology and root …","W Nijland, NC Coops, SCP Coogan…",Applied Vegetation …,2013,35,roots AND phenology,
"Soil warming and straw return impacts on winter wheat phenology, photosynthesis, root growth, and grain yield in the North China Plain",https://www.sciencedirect.com/science/article/pii/S0378429022001162,"… soil temperature by 3.8 ℃, and the phenology, photosynthesis, root growth, and grain yield of 
… Furthermore, the post-anthesis root weight, length, surface area densities and root to shoot …","G Wu, J Ling, ZX Liu, YP Xu, XM Chen, Y Wen…",Field Crops …,2022,34,roots AND phenology,
Carbohydrate concentrations in honey mesquite roots in relation to phenological development and reproductive condition,https://repository.arizona.edu/handle/10150/646929,"… influenced by differences in phenological development which commonly occur … of the roots 
to phenological stage of development … of plants of the same phenological stage but differing in …","RT Wilson, BE Dahl, DR Krieg - 1975 - repository.arizona.edu",,,34,roots AND phenology,
Flowering phenology of a herbaceous species (Poa annua) is regulated by soil Collembola,https://www.sciencedirect.com/science/article/pii/S0038071715002667,"… Root parameters (root length, total root projected area and number of root tips) were … Shoot 
and root were oven dried at 65 C for 48 h to obtain root biomass (R), shoot biomass (S) and S:…","E Forey, SFM Coulibaly, M Chauvat",Soil Biology and Biochemistry,2015,34,roots AND phenology,
Links between belowground and aboveground resource-related traits reveal species growth strategies that promote invasive advantages,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0104189,"… We examined the relationship of aboveground to belowground growth phenology between 
… of root production corresponding with aboveground leaf phenology. In addition, we expected …","MS Smith, JD Fridley, M Goebel, TL Bauerle",PLoS One,2014,34,belowground AND phenology,
"Phenology, litterfall, growth, and root biomass in a tidal floodplain forest in the Amazon estuary",https://www.scielo.br/j/rbb/a/33ZJtdRMXwVQDp5wxycMMrb/,"… of phenology and litterfall in relation to two key variables: rainfall and tide levels. In addition, 
we estimated the root … Our results showed high correlations between phenological events (…","JH Cattanio, AB Anderson, JS Rombold…",Brazilian Journal of …,2004,33,roots AND phenology,
Host phenology and potential saprotrophism of ectomycorrhizal fungi in the boreal forest,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2435.12695,"… Phenology-induced changes in carbon assimilation by trees may affect carbon stored in fine 
roots … We tested whether phenology-induced shifts in carbon reserves of fine roots of aspen (…","SF Hupperts, J Karst, K Pritsch…",Functional …,2017,33,roots AND phenology,
"Effects of phenology, water availability and seed source on loblolly pine biomass partitioning and transpiration.",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=0829318X&AN=51808419&h=T23jkfnOY3m7B83yc1iRQaO68DvtGgqQAjdt%2FtlTzrdrOhlMKYl0bTuJAyOVO76E7fbK0ekbTVF1Mp47FIipLQ%3D%3D&crl=c,"… root area were affected by treatment, seedlot and phenology. Seedlings of the Arkansas 
seedlot maintained significantly higher transpiration rates per unit leaf and root … root systems. …",AD Barnes,Tree Physiology,2002,33,roots AND phenology,
"The Ecophysiology of Veronica Chamaedrys, V. Montana and V. Officinalis. III. Effects of Shading on the Phenology of Biomass Allocations--A Field Experiment",https://www.jstor.org/stable/2260694,"… Root phenology was unaffected by shading. In unshaded plants, allocation to stem (SWR) … 
phenology of root allocation in these Veronica species is invariable: disparity in the phenology …","MP Dale, DR Causton",Journal of Ecology,1992,33,roots AND phenology,
Experimental warming causes mismatches in alpine plant-microbe-fauna phenology,https://www.nature.com/articles/s41467-023-37938-3,"… To our knowledge, the findings of this study provide the first evidence of phenological 
mismatches between above- and belowground alpine organisms due to climate warming. Notably, …","R Yin, W Qin, X Wang, D Xie, H Wang, H Zhao…",Nature …,2023,33,belowground AND phenology,
Temperature and moisture dependence of daily growth of Scots pine (Pinus sylvestris L.) roots in Southern Finland,https://academic.oup.com/treephys/article-abstract/40/2/272/5681517,"… phenology have been limited. Unlike aboveground tree growth phenology, belowground 
phenology … the observed root elongation phenology with the growth phenology of aboveground …","Y Ding, P Schiestl","Aalto, HS Helmisaari… - Tree …",2020,33,belowground AND phenology,
Root phenology unresponsive to earlier snowmelt despite advanced above‐ground phenology in two subarctic plant communities,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2435.12853,"… We expected earlier snowmelt to advance both above- and below-ground phenology, and 
… phenology, but contrary to our expectations, root phenology was unresponsive, with root …","G Blume‐Werry, R Jansson, A Milbau",Functional Ecology,2017,32,roots AND phenology,
"Fine root seasonal dynamics, plasticity, and mycorrhization in 2 coexisting Mediterranean oaks with contrasting aboveground phenology",https://www.tandfonline.com/doi/abs/10.2980/19-3-3488,"… Morphologically, the fine roots of both species presented similar traits and phenological … 
branched (lowest values for specific root length [SRL] and number of root tips) in winter than in …","L Coll, JJ Camarero, J Martínez de Aragón",Ecoscience,2012,32,roots AND phenology,
Growth of alpine grassland will start and stop earlier under climate warming,https://www.nature.com/articles/s41467-022-35194-5,"… Hence, our understanding of belowground processes relies … how above- and belowground 
phenology is linked 24,25 . This is … of above- and belowground growth parameters throughout …","P Möhl, RS Von Büren, E Hiltbrunner",Nature Communications,2022,32,belowground AND phenology,
Root phenology in an Arctic shrub-graminoid community: the effects of long-term warming and herbivore exclusion,https://link.springer.com/article/10.1186/s40665-016-0017-0,"… In 2013 and 2014, we measured root phenology and aboveground phenology in 24 long-term 
study plots in a fully factorial design of warming by herbivory. Warming has been achieved …","L Radville, E Post, DM Eissenstat",Climate Change Responses,2016,31,roots AND phenology,
Contrasting phenology of Eucalyptus grandis fine roots in upper and very deep soil layers in Brazil,https://link.springer.com/article/10.1007/s11104-017-3460-1,"… We set out to gain an insight into the fine root phenology of fast-growing trees in deep … into 
fine root phenology in highly productive forests growing on very deep tropical soils. Fine roots …","GR Lambais, C Jourdan, M de Cássia Piccolo…",Plant and Soil,2017,31,roots AND phenology,
A Simulation Model for Grassland Primary Producer Phenology and Biomass Dynamic,https://link.springer.com/chapter/10.1007/978-1-4612-9929-5_3,"… The phenology submodel simulates phenological change in each producer group. … phenology 
decreases root death in young plants and increases root death in old plants so that roots …",RH Sauer,Grassland simulation model,1978,31,roots AND phenology,
"Phytomass, seasonal phenology and photosynthetic studies",https://link.springer.com/chapter/10.1007/978-3-642-68786-0_22,"… The root mass for a specifi ci ndi vi dual plant was determi ned with thi s method, as was … 
root system. It also allowed for determination of a root/shoot relationship from which, finally, root …","CF Cresswell, P Ferrar, JO Grunow…",Ecology of tropical …,1982,31,roots AND phenology,
Influence of seasonal variation on the phenology and liriodenine content of Annona lutescens (Annonaceae),https://link.springer.com/article/10.1007/s10265-013-0550-x,"… , leaves and roots. Levels of liriodenine increase and it is stored in the roots when the driest 
part of the season appears; also liriodenine levels change based on the phenological states …",M Castro,"Moreno, CL Tinoco-Ojangurén… - Journal of plant …",2013,31,roots AND phenology,
Global climate change and above-belowground insect herbivore interactions,https://www.frontiersin.org/articles/10.3389/fpls.2013.00412/full,"… ecological reactions of belowground herbivores to environmental … change for above–belowground 
interactions between herbivores … of considering the belowground fauna when making …","SW McKenzie, WT Hentley, RS Hails…",Frontiers in plant …,2013,31,belowground AND phenology,
Comparison of ingrowth core and sequential soil core methods for estimating belowground net primary production in grass–clover swards,https://onlinelibrary.wiley.com/doi/abs/10.1111/gfs.12214,"… , we argue that ignoring root phenology would be a more … 1) represented different 
phenological stages of grass tillers: … The ingrowth period of ST2 coincided with the phenological …","S Chen, S Lin, T Reinsch, R Loges…",Grass and Forage …,2016,31,belowground AND phenology,
Microspatial differences in soil temperature cause phenology change on par with long-term climate warming in salt marshes,https://link.springer.com/article/10.1007/s10021-019-00418-1,"… In particular, we found preliminary evidence that a high belowground biomass depletion … 
phenology (Kikuzawa 1995; Zheng and others 2016). We could robustly associate belowground …","JL O'Connell, M Alber, SC Pennings",Ecosystems,2020,30,belowground AND phenology,
"Distribution, competition, and phenology of hemp dogbane (Apocynum cannabinum) in Nebraska",https://www.cambridge.org/core/journals/weed-science/article/distribution-competition-and-phenology-of-hemp-dogbane-apocynum-cannabinum-in-nebraska/8A09E6F9D61D6522ACE0948506ED7A37,"… Lateral, roots used were 15 em segments of the lateral root system. Roots were washed 
and … Information on phenology and root activity should be useful in determining how hemp …","ME Schultz, OC Burnside",Weed Science,1979,29,roots AND phenology,
"From the ground up: Building predictions for how climate change will affect belowground mutualisms, floral traits, and bee behavior",https://www.sciencedirect.com/science/article/pii/S2666900521000137,"… on tripartite interactions involving belowground mutualists, … to affect the phenology and 
distribution of these belowground … are likely to cause phenological and distributional shifts in soil …","AM Keeler, A Rose","Person, NE Rafferty - Climate Change Ecology",2021,29,belowground AND phenology,
Prevalence and phenology of fine root endophyte colonization across populations of Lycopodiella inundata,https://link.springer.com/article/10.1007/s00572-020-00979-3,"… on a par with phenological developments in the host plant and its root growth rate, as well … 
up to plant root collection to gain further insight into abiotic drivers affecting root growth of this …","J Kowal, E Arrigoni, J Serra, M Bidartondo",Mycorrhiza,2020,28,roots AND phenology,
The effect of nitrogen fertilization on the phenology of roots in a barrier island sand dune community,https://link.springer.com/article/10.1007/BF00011002,"… Little work has been done on the phenology of root growth and senescence largely due to … 
roots through an entire growing season. As a result, direct measures of mortality, root growth, …","EP Weber, FP Day",Plant and Soil,1996,28,roots AND phenology,
"Rootstock Scion Interaction and Effects on Vine Vigor, Phenology, and Cold Hardiness of Interspecific Hybrid Grape Cultivars (Vitis spp.)",https://www.tandfonline.com/doi/abs/10.1080/15538362.2013.789277,"… of phenology, growth, canopy and root architecture, or fruit production. Studies generally 
focused on scion and root … mechanisms in key physiological processes for roots in general, eg, …","P Sabbatini, GS Howell",International Journal of Fruit Science,2013,28,roots AND phenology,
"Comparative Morphology, Anatomy, Phenology and Reproductive Biology of Alexgeorgea Spp (Restionaceae) From South-Western Western Australia",https://www.publish.csiro.au/bt/bt9900523,"… The phenology of growth and reproduction of the new species A. ganopoda (KD879) was … 
The broad cortex of the young tap roots and apogeotropic roots of A. ganopoda is made up …","KA Meney, JS Pate, KW Dixon",Australian Journal of Botany,1990,27,roots AND phenology,
Physiological and phenological responses of oak seedlings to oak forest soil in the absence of trees,https://academic.oup.com/treephys/article-abstract/27/1/133/1674507,"… belowground conditions; however, tree influences on seedling physiology via belowground 
… We used soil transfers to an open field to examine the belowground influences of a Quercus …","IA Dickie, RA Montgomery, PB Reich…",Tree …,2007,27,belowground AND phenology,
"Ecology and phenology of flowering rush in the Detroit Lakes chain of lakes, Minnesota",https://www.researchgate.net/profile/John-Madsen-3/publication/281887312_Ecology_and_phenology_of_flowering_rush_in_the_Detroit_Lakes_chain_of_lakes_Minnesota/links/5678655808ae0ad265c82e40/Ecology-and-phenology-of-flowering-rush-in-the-Detroit-Lakes-chain-of-lakes-Minnesota.pdf,"… relative to belowground biomass and number of leaves. One rhizome bud was produced 
for every 2 g belowground biomass (0.504 6 0.037 buds g À1 belowground biomass) or three …","MD Marko, JD Madsen, RA Smith, B Sartain…",J. Aquat. Plant …,2015,27,belowground AND phenology,
Tolerance and phenological avoidance of herbivory in tarweed species,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/15-1454.1,"… the above- and below-ground material of the plant. Below-ground material was washed on 
a 3 mm sieve to remove soil debris. Above- and below-ground material was then dried at 45 …","B Krimmel, IS Pearse",Ecology,2016,27,belowground AND phenology,
"Phenology of the aerial portions of shadscale and winterfat in Curlew Valley, Utah",https://repository.arizona.edu/handle/10150/646697,"… The considerable variation in year-to-year phenology should be noted by those taking … 
phenological differences could result, in some years, in the plants being used during phenological …","NE West, J Gasto - 1978 - repository.arizona.edu",,,27,belowground AND phenology,
Synchronous and asynchronous root and shoot phenology in temperate woody seedlings,https://nsojournals.onlinelibrary.wiley.com/doi/abs/10.1111/oik.06996,"… variation in root phenology explained by shoot phenology was small both for the end and 
the duration of root growth (Fig. 2), which implies that factors beyond aboveground phenology (…","K Makoto, SD Wilson, T Sato, G Blume‐Werry…",Oikos,2020,26,roots AND phenology,
"Response of the fine root production, phenology, and turnover rate of six shrub species from a subtropical forest to a soil moisture gradient and shading",https://link.springer.com/article/10.1007/s11104-015-2686-z,"… serissoides presented the greatest responses in terms of root phenology to gradients in the 
… to an increase in fine root production during spring. Species with smaller fine roots of the 1 st …","X Fu, J Wang, H Wang, X Dai, F Yang, M Zhao",Plant and Soil,2016,26,roots AND phenology,
Maize phenology alters the distribution of enzyme activities in soil: Field estimates,https://www.sciencedirect.com/science/article/pii/S0929139317312428,"… maturity stage on EA indicated that actively growing roots fuel microorganisms via root-derived 
organics. Thus, soil depth and plant roots were major factors controlling microbial activity …","A Kumar, M Shahbaz, E Blagodatskaya, Y Kuzyakov…",Applied Soil …,2018,26,roots AND phenology,
The effect of grazing on phenology and biomass allocation in Quercus coccifera (L.),https://www.sciencedirect.com/science/article/pii/S1146609X98800386,"… , the phenological characteristics, as well as the spatial arrangement of leaf and root bio… 
to explore the features, in terms of plant phenology and biomass allocation, which enable Q. …","EM Papatheodorou, JD Pantis, GP Stamou",Acta Oecologica,1998,26,roots AND phenology,
Diverging shifts in spring phenology in response to biodiversity loss in a subtropical forest,https://onlinelibrary.wiley.com/doi/abs/10.1111/jvs.12806,"… Root and shoot phenology may be closely related because of physiological coupling, where 
shoots depend on roots for soil resources. Thus, rich soil nutrients can accelerate new leaf …","Y Du, B Yang, SC Chen, K Ma",Journal of Vegetation Science,2019,26,roots AND phenology,
Integrating aboveground–belowground responses to climate change,https://www.researchgate.net/profile/Rama-Dube/publication/282368745_Integrating_aboveground-belowground_responses_to_climate_change/links/57ff91b508aebab2012bab2e/Integrating-aboveground-belowground-responses-to-climate-change.pdf,"… The potential impact of climate change on aboveground and belowground responses. It has 
been perceived that climate change may affect the morphology, phenology, physiology and …","PC Abhilash, RK Dubey",Curr Sci,2014,26,belowground AND phenology,
"Plant development, water relations, and carbon allocation of heart‐podded hoary cress",https://acsess.onlinelibrary.wiley.com/doi/abs/10.2134/agronj1994.00021962008600030006x,"… The peak in belowground C allocation occurred at a stage when leaf conductance … 
belowground tissue, the large proportion of belowground tissue, and the wide variation of phenology …","RF Miller, TJ Svejcar, JA Rose, ML McInnis",Agronomy Journal,1994,26,belowground AND phenology,
"Phenology of glucosinolate concentrations in roots, stems and leaves of Cardamine cordifolia",https://www.sciencedirect.com/science/article/pii/0305197884900085,"Total concentrations of isothiocyanate-yielding glucosinolates (IYG) were measured in roots, 
stems, basal leaves and cauline leaves of the herbaceous perennial Cardamine cordifolia (…","JE Rodman, SM Louda",Biochemical systematics and ecology,1984,25,roots AND phenology,
Phenology and autumnal accumulation of N reserves in belowground organs of wetland helophytes Phragmites australis and Glyceria maxima affected by nutrient …,https://www.sciencedirect.com/science/article/pii/S0098847207001815,"… , phenology, and particularly, the accumulation of N storage compounds in belowground … 
, and delayed retranslocation of N into belowground organs were found in both species in …","E Tylová, L Steinbachová, O Votrubová…",… and Experimental Botany,2008,25,belowground AND phenology,
Simulated root dynamics of a 160-year-old sugar maple (Acer saccharum Marsh.) tree with and without ozone exposure using the TREGRO model,https://academic.oup.com/treephys/article-abstract/16/11-12/915/1663697,"… We used existing phenological, allometric, and growth data to parameterize TREGRO to … 
We conclude that modeling can aid in evaluating the belowground response of mature forest …","WA Retzlaff, DA Weinstein, JA Laurence…",Tree …,1996,25,belowground AND phenology,
"Fungal-mediated above–belowground interactions: The community approach, stability, evolution, mechanisms, and applications",https://link.springer.com/chapter/10.1007/978-3-319-91614-9_5,"… above–belowground interactions in which belowground organisms … data to answer this 
question for most belowground organisms… drive phenological mismatches in above–belowground …","AE Bennett, P Orrell, A Malacrino, MJ Pozo",Aboveground–belowground …,2018,25,belowground AND phenology,
Limited linkages of aboveground and belowground phenology: a study in grape,https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.3732/ajb.1600212,"… of root phenology with aboveground phenology. We compared interannual variability in … 
one yearly root flush and high interannual variability in root growth. Root phenology was more …","L Radville, TL Bauerle, LH Comas…",American Journal of …,2016,24,roots AND phenology,
Autumnal warming does not change root phenology in two contrasting vegetation types of subarctic tundra,https://link.springer.com/article/10.1007/s11104-017-3343-5,"… found that root phenology in our study differed between the vegetation types; a peak in root 
… in the meadow vegetation, whereas the root phenology in the heath vegetation was more …","S Schwieger, J Kreyling, A Milbau, G Blume",Werry - Plant and Soil,2018,24,roots AND phenology,
Seasonal pattern of root growth in relation to shoot phenology and soil temperature in sweet cherry trees (Prunus avium): A preliminary study in central Chile,https://dialnet.unirioja.es/servlet/articulo?codigo=5343380,"… period, optimal growth and root development are necessary. To characterize the root growth 
pattern of cherry trees in relation to shoot growth and phenology, a study was conducted on …","C Bonomelli, CA Bonilla, E Acuña…",Ciencia e investigación …,2012,24,roots AND phenology,
Upland rice phenology and nutrient uptake in tropical climate,https://www.tandfonline.com/doi/abs/10.1080/01904167.2012.724136,"… Rice phenology is generally divided into vegetative (from emergence to panicle initiation), … 
was to evaluate phenological development of upland rice in terms plant height, root and shoot …","NK Fageria, AM Knupp",Journal of plant nutrition,2013,24,roots AND phenology,
Phenological mismatch between season advancement and migration timing alters Arctic plant traits,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.13191,"… reduced above- and below-ground biomass, stem … phenological mismatch prediction 
for this site of earlier springs and later goose arrival will likely increase above- and below-ground …","RT Choi, KH Beard, AJ Leffler, KC Kelsey…",Journal of …,2019,24,belowground AND phenology,
"Soil warming alters fine root lifespan, phenology, and architecture in a Cunninghamia lanceolata plantation",https://www.sciencedirect.com/science/article/pii/S0168192322003884,"… In a large-scale soil warming experiment in a Chinese fir plantation, fine root … fine root 
lifespan, such as soil moisture, fine root phenology and architecture, were analysed. Fine root non-…","Q Jiang, L Jia, X Wang, W Chen, D Xiong…",Agricultural and Forest …,2022,23,roots AND phenology,
"Implementation of a dynamic rooting depth and phenology into a land surface model: Evaluation of carbon, water, and energy fluxes in the high latitude ecosystems",https://www.sciencedirect.com/science/article/pii/S0168192315001811,"… the application of the dynamic phenology and the rooting depth and … a new dynamic phenology 
component and dynamic root … Unlike many other LSMs, the dynamic phenology in ISAM …","B El Masri, S Shu, AK Jain",Agricultural and Forest Meteorology,2015,23,roots AND phenology,
How changes in spring and autumn phenology translate into growth‐experimental evidence of asymmetric effects,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.13682,"… for plant carbon uptake, the degree to which phenological changes affect … roots and shoots 
separately to quantify total biomass, shoot biomass, root biomass and the ratio between root …","CM Zohner, SS Renner, V Sebald…",Journal of …,2021,23,roots AND phenology,
Phenology and fungus‐nematode relations of corky root disease of Douglas‐fir,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1744-7348.1971.tb04679.x,"Phenology and fungusâ•’nematode relations of corky root disease of Douglasâ•’fir … corky root 
was to reduce root size, the extremes of tap-root length were much wider in corky roots than …","WJ Bloomberg, JR Sutherland",Annals of Applied Biology,1971,21,roots AND phenology,
Does phenology play a role in the feedbacks underlying shrub encroachment?,https://www.sciencedirect.com/science/article/pii/S0048969718349799,"… phenology in regulating shrub encroachment is not well understood. We address this issue 
using 3-year continuous monitoring of the phenology … soil conditions (root zone soil moisture, …","Y Fan, XY Li, H Huang, XC Wu, KL Yu, JQ Wei…",Science of the Total …,2019,21,roots AND phenology,
Shifts in plant phenology induced by environmental changes are small relative to annual phenological variation,https://www.sciencedirect.com/science/article/pii/S016819232030246X,"… phenology in an in-situ experiment for two grasses over 3 years. Year-to-year variations in 
the phenology of … tenuiflora), only 1 out of our 9 phenological measurements was significant: …","X Yang, R Guo, JMH Knops, L Mei, F Kang…",Agricultural and Forest …,2020,21,roots AND phenology,
Shoot and root growth phenology of grafted avocado,http://www.avocadosource.com/WAC2/WAC2_p215.pdf,"… During studies on the control of root rot with fungicides, we became interested in root 
growth cycles in avocado. Whiley and co-workers (Piccone et al., 1987a,b; Whiley, 1987) had …","RC Ploetz, JL Ramos, JL Parrado…",Proc. Second World …,1992,20,roots AND phenology,
"Phenology, roots and reproductive allocation, but not the LHS scheme, shape ecotypes along an aridity gradient",https://www.sciencedirect.com/science/article/pii/S1433831917300872,"This study tested systematically at two spatial scales for key traits shaping within-species 
ecotypic differentiation under increasing aridity. It assessed different plant strategy theories and …","S Kurze, N Bareither, J Metz","Perspectives in Plant Ecology, Evolution and …",2017,20,roots AND phenology,
Distinct patterns of below-and aboveground growth phenology and litter carbon inputs along a boreal site type gradient,https://www.sciencedirect.com/science/article/pii/S0378112721001705,"… of fine root biomass, fine root longevity, below- and aboveground growth phenology and annual 
… Fine root biomass per tree stand basal area decreased significantly from nutrient-poor to …","Y Ding, J Leppälammi","Kujansuu, M Salemaa… - Forest Ecology and …",2021,20,roots AND phenology,
Prolonged soil frost affects hydraulics and phenology of apple trees,https://www.frontiersin.org/articles/10.3389/fpls.2016.00867/full,"… phenological parameters, xylogenesis and fine root growth. The findings confirm that prolonged 
soil frost affects tree hydraulics and phenology … in phenology, xylogenesis, and fine root …","B Beikircher, C Mittmann, S Mayr",Frontiers in Plant Science,2016,20,roots AND phenology,
Effect of environmental and phenological factors on the antimicrobial activity of Cochlospermum regium (Schrank) Pilg. roots,https://www.scielo.br/j/asagr/a/LmVmx3kpvS5YRGNPX9tmMYD/?lang=en,"… and phenological factors on the antimicrobial activity of <b><i>Cochlospermum regium</i></b> 
(Schrank) Pilg. roots Effect of environmental and phenological factors on the … roots …","MC Inácio, TA Paz, BW Bertoni…",Acta Scientiarum …,2016,19,roots AND phenology,
Phenology-dependent root bacteria enhance yield of Brassica napus,https://www.sciencedirect.com/science/article/pii/S0038071721003424,"… to decipher the beneficial root-associated bacterial communities … several phenology-dependent 
yield-promoting root bacterial … napus phenology, and holobiont community assembly and …","SD Mamet, BL Helgason, EG Lamb…",Soil Biology and …,2022,18,roots AND phenology,
Phenology and function in lycopod–Mucoromycotina symbiosis,https://www.jstor.org/stable/27001329,"… (g) Transverse section of root of mature sporophyte of L. inundata showing extensive fungal 
… assessment of fungal symbiosis across the changing phenology of the marsh clubmoss, L. …","MI Bidartondo, JG Duckett, KJ Field, GA Hoysted…",The New …,2021,18,roots AND phenology,
"Genome-wide consistent molecular markers associated with phenology, plant production and root traits in diverse rice (Oryza sativa L.) accessions under drought in …",https://www.jstor.org/stable/26495069,"… associated with phenology, plant production and root traits … variation in phenology, plant 
pro duction and root traits under … ciated with phenology, plant production and root traits under …","V Deshmukh, SP Mankar, C Muthukumar, P Divahar…",Current Science,2018,18,roots AND phenology,
Diverse and divergent influences of phenology on herbaceous aboveground biomass across the Tibetan Plateau alpine grasslands,https://www.sciencedirect.com/science/article/pii/S1470160X20309754,"… Comparing the differences in phenology and functional traits between two PFGs, … phenology, 
while sedges may tend to preferentially adjust root and reproductive growth via phenology, …","P Li, W Zhu, Z Xie",Ecological Indicators,2021,18,roots AND phenology,
Evaluating heavy metal stress levels in rice based on remote sensing phenology,https://www.mdpi.com/1424-8220/18/3/860,"… As heavy metal stress changes phenology and root weight, we analyzed the mechanism of 
… of phenology and root weight. Compared with only applying phenology or root weight, it was …","T Liu, X Liu, M Liu, L Wu",Sensors,2018,18,roots AND phenology,
Linking above-and belowground phenology of hybrid walnut growing along a climatic gradient in temperate agroforestry systems,https://link.springer.com/article/10.1007/s11104-017-3417-4,"… drives root growth over different phenological periods. We also characterized the relationship 
between root and shoot phenology, … We hypothesized that (i) shoot and root phenology are …","A Mohamed, A Stokes, Z Mao, C Jourdan, S Sabatier…",Plant and Soil,2018,17,roots AND phenology,
The reproductive phenology of Acaena elongata and its relation with arbuscular mycorrhizal fungi,https://link.springer.com/article/10.1007/s13199-019-00629-z,"… of the reproductive phenology and percentage of AM fungal root … phenology and AM 
fungal root colonization?, ii) Are flowering and fruit production patterns linked to AM fungal root …",Y Vázquez,"Santos, S Castillo-Argüero… - Symbiosis",2019,17,roots AND phenology,
